Date,Open,High,Low,Close,Volume,"Daily Change %"
10-Aug-2018,695,699.75,680,682.7,2728320,-1.77
10-Aug-2018,685.9,699.95,677,686.4,4560558,0.07
10-Aug-2018,681,697,680.65,691.1,2852323,1.48
10-Aug-2018,695.05,695.85,668.45,670.5,3756249,-3.53
10-Aug-2018,675,684.15,668.1,670.6,2639069,-0.65
10-Aug-2018,674,674,655.5,662.55,1745715,-1.70
10-Aug-2018,662.55,667,645.9,652.95,2284475,-1.45
10-Aug-2018,652.95,665.6,636.45,662.65,3162498,1.49
10-Aug-2018,671.75,675.5,654.2,657.4,2770174,-2.14
10-Aug-2018,663,666.4,651.05,653.35,1771130,-1.46
10-Aug-2018,653,665.75,648.3,654.1,2193797,0.17
10-Aug-2018,656.65,671.9,656.65,663.6,3927593,1.06
10-Aug-2018,663,671.75,654.2,666.45,2880596,0.52
10-Aug-2018,661.6,670,658.25,667.25,1436196,0.85
10-Aug-2018,664.6,680,663.3,670.65,2427422,0.91
10-Aug-2018,671,678.7,669,672.7,1690858,0.25
10-Aug-2018,679,681,666.3,675.8,2022339,-0.47
10-Aug-2018,679.8,697.5,671.25,692.95,4304706,1.93
10-Aug-2018,692,695.9,678.25,685.35,2342450,-0.96
10-Aug-2018,683.6,690.5,675,686.4,1797801,0.41
10-Aug-2018,687,707.3,683.25,697.45,3516538,1.52
10-Aug-2018,700.95,715.9,695.85,711.35,5914361,1.48
10-Aug-2018,714.95,718.7,696,702.75,3547180,-1.71
10-Aug-2018,713.95,713.95,662.35,675.25,8983562,-5.42
10-Aug-2018,676.05,686.5,673.25,677.85,2684315,0.27
10-Aug-2018,678,691.25,678,687.25,3744400,1.36
10-Aug-2018,686,717.8,682.45,712.35,7789699,3.84
10-Aug-2018,712,721.5,698.2,701.15,4585884,-1.52
10-Aug-2018,698,717,695.4,698.3,2864750,0.04
10-Aug-2018,703,714.8,697.35,701.25,3710175,-0.25
10-Aug-2018,705,706.5,684.3,691.75,2793493,-1.88
10-Aug-2018,694.5,703.9,683,701.85,3166739,1.06
10-Aug-2018,705,721.3,703.5,706.95,4572713,0.28
10-Aug-2018,709,721.9,705.5,714.2,4023019,0.73
10-Aug-2018,715.1,718.65,706.3,709.1,2200939,-0.84
10-Aug-2018,715,715.1,706.4,713.8,2429450,-0.17
10-Aug-2018,711,717.9,690,698.8,4483300,-1.72
10-Aug-2018,702.5,712,695.2,707.25,3273882,0.68
10-Aug-2018,711,714.15,701.35,710.55,1693522,-0.06
10-Aug-2018,708.95,712,694.5,695.75,2008178,-1.86
10-Aug-2018,699.9,700.5,688.3,690.55,2117024,-1.34
10-Aug-2018,694.7,702.75,682.2,685.3,2599578,-1.35
10-Aug-2018,686,692.8,679.5,691.15,1604665,0.75
10-Aug-2018,692.95,699.9,691,696.15,1850829,0.46
10-Aug-2018,695,699.9,682.15,687.85,1687463,-1.03
10-Aug-2018,692,716.9,690,714.25,5570107,3.22
10-Aug-2018,716.05,721.75,659.25,664.25,8192199,-7.23
10-Aug-2018,673.9,675.8,634.15,655.45,10890801,-2.74
10-Aug-2018,657.95,669.5,640,657.2,4422723,-0.11
10-Aug-2018,659.95,666.2,654.3,660.85,3506534,0.14
10-Aug-2018,665.35,665.4,652,654.5,2070241,-1.63
10-Aug-2018,662,663.05,645,646.65,2864186,-2.32
10-Aug-2018,649.7,651.05,633,634.9,5193752,-2.28
10-Aug-2018,640,648.35,637,643.85,1990065,0.60
10-Aug-2018,649,661,645.3,650.75,3496172,0.27
10-Aug-2018,655,669.8,651.05,654.4,5529491,-0.09
10-Aug-2018,659.3,664,645,647.7,3416881,-1.76
10-Aug-2018,647,655,635.5,641.05,3194276,-0.92
10-Aug-2018,643.95,661.55,638.2,657.3,2856991,2.07
10-Aug-2018,654,664.9,644.55,646.8,2658597,-1.10
10-Aug-2018,650,654.9,640,646.3,2568607,-0.57
10-Aug-2018,646.3,654.95,640,642.2,1610766,-0.63
10-Aug-2018,644.1,661.75,643.5,659.45,2868824,2.38
10-Aug-2018,658,660.95,639.5,648.55,3696991,-1.44
